ID,X,Y,F,VX,VY,Obj,V,V_kph,V_mps,VX_mps,VY_mps,comp,type,Obj_ID,X_SGF,Y_SGF,V_mps_corrected,speed_SGF,VX_mps_corrected,speed_x_SGF,VY_mps_corrected,speed_y_SGF,acc_inst,acc_inst_x,acc_inst_y,yawAngle,acc_SGF,acc_SGF_x,acc_SGF_y,yawAngle_SGF,yawRate,yawRate_SGF,jerk,jerk_SGF,X_axis2_SGF,Y_axis2_SGF,deltaX,deltaY,quarter,yawAngle_axis2
1,27.01,48.81,15753,0.0129,-0.02171,165,0.025253398,2.724639594,0.756844332,0.386613,-0.6506487,1111,p,1111_165,27.00310795,48.79244376,0.756844332,0.679482808,0.0129,0.004078872,-0.02171,-0.017569417,1.386853783,0.134770497,-0.089623958,-0.769077655,1.477920175,0.137416727,-0.088905874,-0.788075078,-0.376846341,-0.269444976,-4.503101837,-3.969863168,53.85584723,14.47128626,-0.002044318,-0.002044318,3,-2.35619449
2,27.1,48.7,15754,0.015,-0.02234,165,0.026908653,2.903228377,0.806452327,0.44955,-0.6695298,1111,p,1111_165,27.04245443,48.74991467,0.806452327,0.725757543,0.015,0.008575719,-0.02234,-0.020559872,1.696781621,0.11773957,-0.086346413,-0.746546401,1.760329512,0.099924343,-0.083474734,-0.750842204,-0.55849312,-0.538207284,-4.236140043,-3.490505014,53.85258846,14.41343949,-0.00325877,-0.00325877,3,-2.35619449
3,27.12,48.68,15755,0.01627,-0.02237,165,0.02766098,2.984398426,0.828999563,0.4876119,-0.6704289,1111,p,1111_165,27.07900517,48.70839722,0.828999563,0.782373546,0.01627,0.012504299,-0.02237,-0.023440967,2.006709459,0.100708642,-0.083068868,-0.721863648,2.050378772,0.066243983,-0.078773675,-0.706781662,-0.660908133,-0.742949831,-4.350738907,-3.941430563,53.84811524,14.3583065,-0.004473221,-0.004473221,3,-2.35619449
4,27.16,48.64,15756,0.01845,-0.02739,165,0.033024455,3.563074453,0.989742904,0.5529465,-0.8208783,1111,p,1111_165,27.11276018,48.6678914,0.989742904,0.849330818,0.01845,0.015864614,-0.02739,-0.026212701,2.804424607,0.045740458,-0.07492161,-0.694740631,2.360947224,0.042656032,-0.075368811,-0.660993411,-0.686823766,-0.83358886,-4.65852678,-4.773069842,53.84242757,14.3058873,-0.005687673,-0.005687673,3,-2.35619449
5,27.16,48.61,15757,0.01495,-0.02802,165,0.031758824,3.426523036,0.951811954,0.4480515,-0.8397594,1111,p,1111_165,27.14757466,48.62600905,0.951811954,0.942905213,0.01495,0.017390823,-0.02802,-0.028712588,3.333688956,-0.00206671,-0.062296374,-0.693504313,2.692356025,0.032838102,-0.073469135,-0.61839525,-0.638972408,-0.784004454,-4.971132014,-5.528560846,53.83648572,14.25174976,-0.005941848,-0.005941848,3,-2.35619449
6,27.14,48.61,15758,0.01354,-0.02968,165,0.0326226,3.519717508,0.977699308,0.4057938,-0.8895096,1111,p,1111_165,27.17303167,48.58722172,0.977699308,1.054139412,0.01354,0.017321863,-0.02968,-0.030791213,2.24422929,0.024884674,-0.070938041,-0.580807315,2.974302453,0.033505898,-0.07323632,-0.567798699,-0.758948265,-0.592040543,-4.229196427,-5.843749537,53.82626974,14.20649326,-0.010215984,-0.010215984,3,-2.35619449
7,27.17,48.58,15759,0.01639,-0.0315,165,0.035508902,3.831126422,1.064201784,0.4912083,-0.944055,1111,p,1111_165,27.19249774,48.55177376,1.064201784,1.129021938,0.01639,0.018152183,-0.0315,-0.033158181,3.039796715,0.058844752,-0.076828705,-0.502186355,3.320694667,0.053425347,-0.073994904,-0.540178089,-0.414309147,-0.277268742,-5.195883208,-5.447189847,53.81429403,14.16786596,-0.011975708,-0.011975708,3,-2.35619449
8,27.19,48.53,15760,0.01895,-0.03509,165,0.039879952,4.30272782,1.195202172,0.5679315,-1.0516473,1111,p,1111_165,27.206181,48.52088688,1.195202172,1.230449923,0.01895,0.020115638,-0.03509,-0.035721701,3.650560065,0.092881505,-0.082215982,-0.41702754,3.639121915,0.08535935,-0.074453392,-0.547040314,0.102933366,0.127821939,-4.776408712,-4.597814044,53.801582,14.13656684,-0.012712031,-0.012712031,3,-2.35619449
9,27.21,48.49,15761,0.01638,-0.03723,165,0.040674037,4.388403219,1.219000894,0.4909086,-1.1157831,1111,p,1111_165,27.2299819,48.48774661,1.219000894,1.352257066,0.01638,0.023214787,-0.03723,-0.038464977,3.920175295,0.11676746,-0.076100475,-0.622827863,3.798586543,0.117409082,-0.072860635,-0.580103557,0.495948656,0.544470783,-2.391969432,-2.575787559,53.79427759,14.09642452,-0.007304413,-0.007304413,3,-2.35619449
10,27.28,48.44,15762,0.02892,-0.04234,165,0.051274185,5.532074318,1.536687311,0.8667324,-1.2689298,1111,p,1111_165,27.26472398,48.44534842,1.536687311,1.483060379,0.02892,0.027110932,-0.04234,-0.041004199,3.838800734,0.137412043,-0.05943173,-0.686472953,3.804510692,0.141133805,-0.068498064,-0.633347206,0.798654729,0.784354724,-0.088862234,1.024940247,53.78791439,14.04198071,-0.006363193,-0.006363193,3,-2.35619449
