suffix,sc,day,com,sub,obj,type,direction,order,index,,new day number for RA,terminate:,
RB,1,1,2,1111,178,b,N,1,12,,,,
RB,1,1,2,1111,164,p,N,1,12,,,,
RB,1,1,2,1111,50,p,N,2,12,,,,
RB,1,1,2,1111,51,p,N,2,12,,,,
RB,1,1,2,1111,99,p,o,9,12,,,,
RB,1,1,2,9922,39,b,N,,13,,,,
RB,1,1,2,9922,11,p,1,,13,,,,
RB,1,1,2,9922,13,p,2,,13,,,,
RB,1,1,2,9922,18,p,o,,13,,,,
RB,1,1,2,2323,45,b,S,,14,,,,
RB,1,1,2,2323,57,p,1,,14,,,,
RB,1,1,2,2323,41,p,1,,14,,,,
RB,1,1,2,2626,54,b,n,,15,,,,
RB,1,1,2,2626,49,p,1,,15,,,,
RB,1,1,2,2626,55,b,2,,15,,,,
RB,1,1,2,2626,56,b,3,,15,,,,
RB,1,2,1,1,57,b,S,,17,,,,
RB,1,2,1,1,41,p,1,,17,,,,
RB,1,2,2,1,101,b,s,,19,,,,
RB,1,2,2,1,205,b,,,19,,,,
RB,1,2,2,1,135,p,,,19,,,,
RB,1,2,2,3,98,b,n,,20,,,,
RB,1,2,2,3,87,p,1,,20,,,,
RB,1,2,2,12,160,b,s,,21,,,,
RB,1,2,2,12,159,p,1,,21,,,,
RB,1,2,2,12,88,p,180 deg,,21,,,,
RB,1,2,2,20,66,b,S,,24,,,,
RB,1,2,2,20,179,b,S,,24,,,,
RB,1,2,2,20,92,p,1,,24,,,,
RB,1,2,2,21,49,b,S,,25,,,,
RB,1,2,2,21,84,b,S,,25,,,,
RB,1,2,2,21,87,p,1,,25,,,,
RB,1,2,2,27,94,b,N,,26,,,,
RB,1,2,2,27,85,p,N,,26,,,,
RB,1,2,2,27,72,p,N,,26,error at srat ,,,
RB,1,2,2,27,78,p,N,,26,,,,
RB,1,2,2,27,98,p,N,,26,,,,
RB,1,2,2,40,85,b,N,,28,terminate at 104000 since ped trajectories end,above curb,,
RB,1,2,2,40,78,p,N,,28,,,,
RB,1,2,2,40,49,p,N,,28,,,,
RB,1,2,2,40,69,p,N,,28,error later,,,
RB,1,2,2,40,94,p,N,,28,,,,
RB,1,2,2,40,44,p,N,,28,,,,
RB,1,2,2,40,92,p,N,,28,,,,
RB,1,2,2,40,60,p,N,,28,,,,
RB,1,2,2,40,66,p,N,,28,,,,
RB,1,2,2,40,59,p,N,,28,,,,
RB,1,2,2,41,167,b,N,,29,,,,
RB,1,2,2,41,96,p,N,,29,,,,
RB,1,2,2,41,62,p,N,,29,,,,
RB,1,2,2,41,56,p,N,,29,,,,
RB,1,2,2,41,108,p,N,,29,,,,
RB,1,2,2,41,135,p,N,,29,duplicate ped,,,
RB,1,2,2,41,140,p,N,,29,,,,
RB,1,4,2,9,185,b,N,,31,,,,
RB,1,4,2,9,191,p,N,,31,,,,
RB,1,4,2,9,106,p,N,,31,,,,
RB,1,4,2,9,165,p,N,,31,,,,
RB,1,4,2,9,148,p,N,,31,,,,
RB,1,4,2,9,113,p,N,o,31,,,,
RB,1,4,2,9,117,p,N,o,31,,,,
RB,1,4,2,9,154,p,N,o,31,,,,
RB,1,4,2,15,122,b,N,,32,,,,
RB,1,4,2,15,87,b,N,,32,,,,
RB,1,4,2,15,177,b,N,,32,,,,
RB,1,4,2,15,163,p,S,,32,,,,
RB,1,4,2,15,160,p,S,,32,,,,
RB,1,4,2,15,105,p,N,,32,,,,
RB,1,4,2,15,140,p,N,,32,,,,
RB,1,4,2,15,113,p,N,,32,,,,
RB,1,4,2,15,151,p,N,,32,,,,
RB,1,4,2,15,81,p,o,,32,,,,
RB,1,4,2,15,61,p,o,,32,,,,
RB,1,4,2,15,128,p,o,,32,,,,
RB,1,4,2,15,161,p,o,,32,,,,
RB,1,4,2,15,125,p,o,,32,,,,
RB,1,4,2,15,143,p,o,,32,,,,
RB,1,4,2,18,217,b,S,,33,,,,
RB,1,4,2,18,80,b,S,,33,,,,
RB,1,4,2,18,190,p,S,,33,,,,
RB,1,4,2,18,162,p,S,,33,,,,
RB,1,4,2,18,291,p,NW,o,33,,,,
RB,1,4,2,18,100,p,N,o,33,,,,
RB,1,4,2,18,161,p,S,o,33,,,,
RB,1,4,2,18,194,p,N,o,33,,,,
RB,1,4,2,9920,36,b,N,,34,,,,
RB,1,4,2,9920,27,p,N,,34,,,,
RB,1,4,2,9920,30,p,N,,34,,,,
RB,1,4,2,9920,18,p,N,o,34,,,,
RB,1,4,2,9920,17,p,N,o,34,,,,
RB,1,4,2,9920,14,p,N,o,34,,,,
RB,1,4,2,27,91,b,N,,35,,,,
RB,1,4,2,27,161,p,N,,35,,,,
RB,1,4,2,27,59,p,N,,35,,,,
RB,1,4,2,27,53,p,N,,35,,,,
RB,1,4,2,27,87,p,N,,35,,,,
RB,1,4,2,27,107,p,S,o,35,,,,
RB,1,4,2,27,77,p,S,o,35,,,,
RB,1,4,2,9930,37,b,N,,36,,,,
RB,1,4,2,9930,34,p,N,,36,,,,
RB,1,4,2,9930,25,p,S,,36,"its bike, however, consider it fixed as ped ",,,
RB,1,4,2,9930,47,p,S,o,36,,,,
RB,1,4,2,9930,58,p,S,o,36,,,,
RB,1,4,2,31,200,b,N,,37,,,,
RB,1,4,2,31,204,p,N,,37,,,,
RB,1,4,2,31,203,p,N,,37,,,,
RB,1,4,2,31,199,p,N,,37,,,,
RB,1,4,2,31,133,p,S,o,37,,,,
RB,1,4,2,31,174,p,S,o,37,,,,
RB,1,4,2,31,305,p,S,o,37,,,,
RB,1,4,2,31,193,p,N,,37,,,,
RB,1,4,2,31,192,p,N,,37,,,,
RB,1,4,2,31,195,p,N,,37,,,,
RB,1,4,2,41,153,b,N,,38,,,,
RB,1,4,2,41,149,p,N,,38,,,,
RB,1,4,2,41,155,p,N,,38,,,,
RB,1,4,2,41,194,p,S,o,38,,,,
RB,1,5,2,1,192,b,N,,39,above the curb,,,
RB,1,5,2,1,161,p,N,,39,,,,
RB,1,5,2,1,180,p,N,,39,,,,
RB,1,5,2,1,135,p,N,,39,,,,
RB,1,5,2,1,143,p,N,,39,,,,
RB,1,5,2,9915,105,b,N,,40,,,,
RB,1,5,2,9915,137,b,N,,40,,,,
RB,1,5,2,9915,71,p,N,,40,,,,
RB,1,5,2,9915,93,p,S,,40,,,,
RB,1,5,2,9915,115,p,N,,40,,,,
RB,1,5,2,17,264,b,N,,41,,,,
RB,1,5,2,17,151,p,N,,41,,,,
RB,1,5,2,17,158,p,N,,41,,,,
RB,1,5,2,17,152,P,S,,41,,,,
RB,1,5,2,17,114,P,S,,41,,,,
RB,1,5,2,17,124,P,S,,41,,,,
RB,1,5,2,17,143,P,S,,41,,,,
RB,1,1,2,2555,22,b,s,,43,,,,
RB,1,1,2,2555,102,b,s,,43,,,,
RB,1,1,2,2555,19,p,N,,43,,,,
RB,1,1,2,2555,97,p,N,,43,,,,
RB,1,1,2,2555,99,p,N,o,43,,,,
RB,1,1,2,2555,104,p,N,,43,,,,
RB,1,1,2,2555,124,p,N,,43,,,,
RB,1,1,2,2555,53,p,S,,43,,,,
RB,1,1,2,2555,55,p,S,,43,,,,
RB,1,1,2,2555,9,p,N,,43,,,,
RB,1,1,2,2555,10,p,S,,43,,,,
RB,1,1,2,2555,66,p,N,o,43,,,,
RB,1,1,2,2555,67,p,N,o,43,,,,
RB,1,1,2,2555,68,p,N,o,43,,,,
RB,1,1,2,2555,71,p,N,o,43,,,,
RB,1,1,2,2555,72,p,N,o,43,,,,
RB,1,1,2,2555,96,p,N,,43,,,,
RB,1,1,2,3999,53,b,N,,44,,,,
RB,1,1,2,3999,136,p,N,,44,,,,
RB,1,1,2,3999,78,p,N,,44,,,,
RB,1,1,2,3999,3,p,S,,44,,,,
RB,1,1,2,3999,40,p,N,,44,,,,
RB,1,1,2,3999,34,p,N,,44,,,,
RB,1,1,2,3999,34,p,N,o,44,,,,
