suffix,sc,day,com,sub,obj,type,direction,order,new_ID,index
RB,1,1,2,1111,178,b,N,1,1111,12
RB,1,1,2,1111,164,p,N,1,1111,12
RB,1,1,2,1111,50,p,N,2,1111,12
RB,1,1,2,1111,51,p,N,2,1111,12
RB,1,1,2,1111,99,p,o,9,1111,12
RB,1,1,2,9922,39,b,N,,1112,
RB,1,1,2,9922,11,p,1,,1112,
RB,1,1,2,9922,13,p,2,,1112,
RB,1,1,2,9922,18,p,o,,1112,
RB,1,1,2,2323,45,b,S,,1113,
RB,1,1,2,2323,57,p,1,,1113,
RB,1,1,2,2323,41,p,1,,1113,
RB,1,1,2,2626,54,b,n,,1114,
RB,1,1,2,2626,49,p,1,,1114,
RB,1,1,2,2626,55,b,2,,1114,
RB,1,1,2,2626,56,b,3,,1114,
RB,1,2,1,1,57,b,S,,1115,
RB,1,2,1,1,41,p,1,,1115,
RB,1,2,2,1,101,b,s,,1116,
RB,1,2,2,1,205,b,,,1116,
RB,1,2,2,1,135,p,,,1116,
RB,1,2,2,3,98,b,n,,1117,
RB,1,2,2,3,87,p,1,,1117,
RB,1,2,2,12,160,b,s,,1118,
RB,1,2,2,12,159,p,1,,1118,
RB,1,2,2,12,88,p,180 deg,,1118,
RB,1,2,2,20,66,b,S,,1119,
RB,1,2,2,20,179,b,S,,1119,
RB,1,2,2,20,92,p,1,,1119,
RB,1,2,2,21,49,b,S,,11110,
RB,1,2,2,21,84,b,S,,11110,
RB,1,2,2,21,87,p,1,,11110,
