SceneID,X,Y,code,Pix
1_2_2,16.78126556,51.93214617,L1,14.2736
1_2_2,27.85981076,40.88950447,L1,14.2736
1_2_2,20.50637425,50.87761918,T1,14.2736
1_2_2,26.61829037,44.86478217,T1,14.2736
1_2_2,31.23198669,47.46182349,T1,14.2736
1_2_2,23.85354021,52.5563902,T1,14.2736
1_2_2,20.74489693,50.98918356,T2,14.2736
1_2_2,27.07907765,44.80406978,T2,14.2736
1_2_2,32.16835324,47.48435162,T2,14.2736
1_2_2,24.56059039,52.6446453,T2,14.2736
1_2_2,17.38442513,43.11689017,car,14.2736
1_2_2,19.58892566,44.97762504,car,14.2736
1_2_2,24.8078415,40.75993403,car,14.2736
1_2_2,21.23918843,39.00640546,car,14.2736
