F,Obj_ID,dist1_mod,dist2_mod,YawDiff1_mod,YawDiff2_mod,speed_SGF,yawAngle_axis2,acc_SGF
80131,142x_1116_154,2.530406925,3.830427208,1.275157116,-4.769273281,0.002451321,-1.746889901,-0.816821386
80130,142x_1116_154,2.472077641,3.756262722,1.379586935,-4.716334656,0.023152971,-1.747346107,-0.713492746
80138,142x_1116_154,2.736722266,4.263279743,3.712506196,3.71113677,0.031984004,0.930293393,5.431809751
80129,142x_1116_154,2.405579445,3.676482766,-4.874232673,-4.661672911,0.050707339,-1.747670631,-0.663683223
80128,142x_1116_154,2.335495981,3.588912449,-4.88139517,-4.656900424,0.085114423,-1.747913298,-0.724962393
65136,161x_1111_23,99,99,0,0,0.131852107,-1.133706546,-1.027018983
46538,112x_112x_1113_103,2.037638696,99,-2.496916988,0,0.136653895,-2.583150007,-1.569150882
46537,112x_112x_1113_103,2.101322813,99,3.240036262,0,0.181635192,3.083341559,-1.217989509
8375,122x_1111_102,8.145335144,99,0.533270692,0,0.183566354,-2.407951641,-12.62315911
33176,142x_1112_178,99,99,0,0,0.18931805,2.711327294,1.475111843
12247,122x_1112_99,1.584733304,99,0.159530828,0,0.19004435,-2.92436047,1.631373756
41216,142x_1118_37,99,99,0,0,0.215918172,-0.932183517,2.790445329
45368,112x_112x_1112_46,99,99,0,0,0.21962064,-1.515903934,-4.204222555
65137,161x_1111_23,99,99,0,0,0.222788098,-1.103800504,2.237597782
46536,112x_112x_1113_103,2.163925294,99,2.876012567,0,0.223545395,2.706369537,-1.105754728
80139,142x_1116_154,2.790095611,4.332304399,4.883561587,4.70223431,0.224752409,1.881458184,7.606358819
33177,142x_1112_178,99,99,0,0,0.234923177,2.702831125,1.376255087
12248,122x_1112_99,1.601848686,99,0.075107582,0,0.244509526,-2.838295288,2.118458131
46535,112x_112x_1113_103,2.226371073,99,2.660963259,0,0.262384505,2.507940116,-1.118736793
33178,142x_1112_178,99,99,0,0,0.275656106,2.698047878,1.24100846
26483,122x_1113_161,99,99,0,0,0.293561542,-1.934581678,1.715074133
46534,112x_112x_1113_103,2.290758631,99,2.529854049,0,0.298152521,2.394184111,-1.167034573
12249,122x_1112_99,1.617548105,99,-0.113018551,0,0.306002407,-2.784651687,2.54356265
41217,142x_1118_37,99,99,0,0,0.311059473,-1.153744431,3.571726537
33179,142x_1112_178,99,99,0,0,0.311516837,2.694980252,1.068895492
46533,112x_112x_1113_103,2.358450056,99,2.428989712,0,0.330849444,2.322181931,-1.184555549
45367,112x_112x_1112_46,99,99,0,0,0.34087742,-1.223766475,-3.374649878
3006,152x_1111_193,8.525573184,99,1.726387851,0,0.341263436,-0.306408873,-0.776551596
26484,122x_1113_161,99,99,0,0,0.352613804,-1.811133306,2.176151406
46532,112x_112x_1113_103,2.426257067,99,2.32187255,0,0.360475274,2.263682673,-1.129015818
33180,142x_1112_178,99,99,0,0,0.363354441,2.856095532,0.872940721
46300,112x_112x_1113_103,1.930674702,99,2.341517727,0,0.369400602,3.092795911,-0.084529613
46301,112x_112x_1113_103,1.89871902,99,-3.944674598,0,0.370918284,-3.042023918,0.22083288
46302,112x_112x_1113_103,1.894238155,99,-2.502082583,0,0.372959664,-1.576333534,0.476775232
12250,122x_1112_99,1.636435277,99,-0.170275643,0,0.374522993,-2.748206797,2.822160565
46299,112x_112x_1113_103,1.957626921,99,2.056981443,0,0.378197934,2.637306074,-0.37980137
3005,152x_1111_193,8.375305613,99,1.903845875,0,0.379702524,-0.323522129,-1.460573037
46303,112x_112x_1113_103,1.897953225,99,-1.716191864,0,0.384473427,-0.802279072,0.608767457
65138,161x_1111_23,99,99,0,0,0.393748716,-1.090003119,6.124995611
46531,112x_112x_1113_103,2.489570929,99,2.164169283,0,0.397549105,2.186880708,-0.981940088
46298,112x_112x_1113_103,1.983210019,99,1.296564136,0,0.402279916,1.70407475,-0.700017823
33181,142x_1112_178,99,99,0,0,0.406175763,2.698068575,0.660629484
46304,112x_112x_1113_103,1.909694283,99,-1.452615117,0,0.40708025,-0.54807198,0.782472608
41218,142x_1118_37,99,99,0,0,0.411510996,-2.101783545,4.238373232
